WTPLCTAGID;READDATETIME;WINDSPEED;WINDDIRECTION;TURBINEDIRECTION;LOWSPEEDRPM;HIGHSPEEDRPM;BRAKEOPEN;EMERGENCYBUTTON;MANUALMODE;STATESECTION;HUBBATTERYVOLTAGE;EXTERNALTEMP;INTERNALTEMP;GEARBOXTEMP;HUBTEMP;BEARINGTEMP;GEARBOXOILLEVELLOW;YAWDRIVEERROR;ETHERNETCOMMS;ALTSWITCHON;ALTSWITCHOFF;HIGHSPEEDRPMSETVALUE;BLADEPITCHMAXSETVALUE;PACALTERNATORVOLTAGEL1;PACALTERNATORVOLTAGEL2;PACALTERNATORVOLTAGEL3;PACALTERNATORCURRENTL1;PACALTERNATORCURRENTL2;PACALTERNATORCURRENTL3;PACALTERNATORFREQUENCY
29;2016-09-03 10:14:38.000;6,87934;187;60;5,805882;314,4;1;1;1;1;302,3262;26,78738;25,78349;25,37661;18,32397;10,3588;0;1;0;1;0;400;40;36,27925;36,22891;36,81932;0;0;0;-1
30;2016-09-03 10:14:48.000;7,269966;186;60;5,594118;303;1;1;1;1;301,2188;26,80312;25,77243;25,37661;18,42285;10,3588;0;1;0;1;0;600;40;34,1874;33,97337;35,00154;0;0;0;1110980922
31;2016-09-03 10:14:58.000;6,87934;186;60;5,364706;290,4;1;1;1;1;302,1416;26,81623;25,76137;25,37661;18,35693;10,3588;0;1;1;1;0;600;40;33,06297;32,77993;33,80989;0;0;0;1111550742
32;2016-09-03 10:15:08.000;8,333333;187;60;5,52353;298,8;1;1;1;1;301,0342;26,82146;25,74365;25,37661;18,45581;10,3588;0;1;1;1;0;600;50;40,95156;41,28115;41,55242;0;0;0;1112918467
33;2016-09-03 10:15:18.000;7,834201;193;60;6,388235;344,4;1;1;1;1;298,8193;26,80836;25,73923;25,37661;18,35693;10,3588;0;1;0;1;0;600;50;46,03147;45,8837;45,94891;0;0;0;-1
34;2016-09-03 10:15:28.000;6,944444;196;60;7,111765;384,6;1;1;1;1;298,0811;26,80312;25,71489;25,37661;18,45581;10,3588;0;1;0;1;0;600;50;53,16748;52,90907;53,39259;0;0;0;1111448796
35;2016-09-03 10:15:38.000;6,380208;189;60;7,482353;403,8;1;1;1;1;296,6045;26,82146;25,6994;25,38448;18,42285;10,3588;0;1;0;1;0;600;50;55,33803;55,67651;55,95739;0;0;0;-1
36;2016-09-03 10:15:48.000;6,228299;186;60;69,75883;376,2;1;1;1;1;296,0508;26,86343;25,68834;25,38448;18,48877;10,3588;0;1;0;1;0;600;50;50,78821;50,61816;51,04092;0;0;0;1110390136
37;2016-09-03 10:15:58.000;6,792534;186;60;6,882353;371,4;1;1;1;1;295,6816;26,88178;25,67506;25,38448;18,45581;10,3588;0;1;0;1;0;600;50;51,67795;51,65219;51,59308;0;0;0;1110746432
38;2016-09-03 10:16:08.000;6,315104;185;60;6,688235;360,6;1;1;1;1;295,6816;26,92374;25,67064;25,38448;18,38989;10,3588;0;1;0;1;0;600;50;47,76133;47,92904;47,99735;0;0;0;1111797783
39;2016-09-03 10:16:18.000;4,709201;188;60;5,841177;315,6;1;1;1;1;295,6816;26,95783;25,67064;25,38972;18,42285;10,3588;0;1;0;1;0;600;50;41,19519;41,17684;41,61324;0;0;0;-1
40;2016-09-03 10:16:28.000;6,119792;203;59;5,52353;298,2;1;1;1;1;295,8662;26,95783;25,70383;25,51035;18,52173;10,24306;0;1;0;1;0;600;50;38,05264;37,89103;38,48606;0;0;0;-1
41;2016-09-03 10:16:38.000;5,338542;206;48;5,541176;299,4;1;1;1;1;315,4307;26,97618;25,6994;25,52346;18,38989;10,30093;0;1;0;1;0;600;50;37,70998;37,82477;38,21156;0;0;0;-1
42;2016-09-03 10:16:48.000;4,383681;193;38;6,423529;346,8;1;1;1;1;304,541;26,99716;25,70383;25,52346;18,48877;10,30093;0;1;0;1;0;600;50;47,30935;47,2075;47,49281;0;0;0;1110971924
43;2016-09-03 10:16:58.000;7,595486;193;27;6,988235;378;1;1;1;1;306,5713;26,96307;25,69276;25,51821;18,29102;10,30093;1;1;0;1;0;600;50;56,25159;55,35583;55,86793;0;0;0;-1
44;2016-09-03 10:17:08.000;7,269966;158;16;7,2;388,8;1;1;1;1;301,7725;26,86343;25,68834;25,51821;18,32397;10,30093;1;1;0;1;0;600;50;55,89481;55,68335;56,14915;0;0;0;-1
45;2016-09-03 10:17:18.000;8,138021;142;6;6,652941;359,4;1;1;1;1;301,0342;26,74018;25,6817;25,51821;18,52173;10,30093;1;1;0;1;0;600;50;51,64142;51,72073;51,81038;0;0;0;1113059104
46;2016-09-03 10:17:28.000;8,224826;128;0;5,594118;302,4;1;1;1;1;300,2959;26,63267;25,68834;25,44479;18,35693;10,30093;1;1;0;1;0;600;50;40,79099;40,58523;41,06479;0;0;0;1112221479
47;2016-09-03 10:17:38.000;7,921007;121;2;4,782353;258;1;1;1;1;299,9268;26,54089;25,69276;25,52346;18,42285;10,30093;1;1;0;1;0;600;50;30,50233;30,21791;31,59309;0;0;0;1112703742
48;2016-09-03 10:17:48.000;8,398438;119;13;4,570588;246,6;1;1;1;1;300,2959;26,49368;25,6817;25,52346;18,42285;10,30093;0;1;0;1;0;600;50;0;0;0;0;0;0;-1
49;2016-09-03 10:17:58.000;8,159722;132;24;4,994118;269,4;1;1;1;1;299,5576;26,48582;25,69276;25,53133;18,35693;10,30093;0;1;0;1;0;600;50;32,22311;31,79466;32,91763;0;0;0;1110859258
50;2016-09-03 10:18:08.000;7,942708;132;34;6,511765;352,2;1;1;1;1;300,2959;26,49893;25,69276;25,53133;18,38989;10,3588;0;1;0;1;0;600;50;47,02061;48,12062;48,59796;0;0;0;1110413413
51;2016-09-03 10:18:18.000;8,984375;135;45;8,400001;453,6;1;1;1;1;301,0342;26,54089;25,68834;25,52346;18,42285;10,3588;1;1;0;1;0;600;50;75,41698;75,58552;75,59515;0;0;0;1115153219
52;2016-09-03 10:18:28.000;8,680555;153;56;98,41765;531,2;1;1;1;1;300,665;26,59334;25,67064;25,53657;18,29102;10,41667;0;1;0;1;0;600;50;91,41746;91,39034;91,22793;0;0;0;1115998201
53;2016-09-03 10:18:38.000;7,465278;173;60;10,09412;544,8;1;1;1;1;299,1885;26,64053;25,62418;25,40283;18,42285;10,47454;0;1;0;1;0;600;50;88,07341;88,23264;87,84554;0;0;0;1114831806
54;2016-09-03 10:18:48.000;7,877604;190;60;9,42353;508,2;1;1;1;1;298,6348;26,67463;25,62418;25,40283;18,42285;10,47454;0;1;1;1;0;600;50;80,73373;80,76067;80,86416;0;0;0;1112866335
55;2016-09-03 10:18:58.000;6,835938;190;60;9,352942;505,2;1;1;1;1;298,0811;26,72707;25,61311;25,40283;18,42285;10,47454;0;1;0;1;0;600;50;81,92157;81,99232;81,90063;0;0;0;-1
56;2016-09-03 10:19:08.000;7,8125;180;60;9,123529;492,6;1;1;1;1;297,8965;26,76115;25,60205;25,40283;18,42285;10,47454;0;1;0;1;0;600;50;81,44031;81,42464;81,50874;0;0;0;-1
57;2016-09-03 10:19:18.000;5,967882;191;60;8,488235;459;1;1;1;1;297,3428;26,78214;25,60205;25,40283;18,35693;10,47454;0;1;1;1;0;600;50;65,58512;65,79546;65,86962;0;0;0;-1
58;2016-09-03 10:19:28.000;6,770833;196;60;77,04706;416,2;1;1;1;1;297,1582;26,80312;25,59763;25,4107;18,38989;10,47454;0;1;0;1;0;600;50;60,77573;60,71666;60,86563;0;0;0;1110790854
